country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26-03-2025 22:00,26.11442,85.39813,OZONE,11,46,28
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26-03-2025 22:00,26.1403345,85.3650192,PM10,38,159,98
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26-03-2025 22:00,26.1403345,85.3650192,NH3,2,4,2
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26-03-2025 22:00,26.1209,85.3647,PM2.5,47,184,113
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26-03-2025 22:00,26.1209,85.3647,NO2,9,15,10
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",26-03-2025 22:00,21.194815,81.31477,CO,11,78,34
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",26-03-2025 22:00,21.185571,81.343175,NH3,2,2,2
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",26-03-2025 22:00,21.185571,81.343175,CO,30,58,47
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",26-03-2025 22:00,22.08815,82.13737,PM10,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",26-03-2025 22:00,22.118125,83.140608,PM2.5,29,140,69
